,TxnID,TimeCreated,TimeModified,EditSequence,TxnNumber,CustomerRef,ClassRef,ARAccountRef,TemplateRef,TxnDate,RefNumber,BillAddress,BillAddressBlock,IsPending,IsFinanceCharge,TermsRef,DueDate,ShipDate,Subtotal,ItemSalesTaxRef,SalesTaxPercentage,SalesTaxTotal,AppliedAmount,BalanceRemaining,IsPaid,IsToBePrinted,IsToBeEmailed,CustomerSalesTaxCodeRef,ShipAddress,ShipAddressBlock,CustomerMsgRef,PONumber,Memo,SuggestedDiscountAmount,SuggestedDiscountDate
0,2453-1071526256,2003-12-16T03:40:56+05:30,2024-12-15T18:27:48+05:30,1734267335,417,"{'ListID': '800000B8-1197707458', 'FullName': 'Prentice, Adelaide:Bay Window'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': '80000-933288086', 'FullName': 'Custom Invoice'}",2023-11-28,975,"{'Addr1': 'Adelaide Prentice', 'Addr2': '1800 Appleseed Court', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Adelaide Prentice', 'Addr2': '1800 Appleseed Court', 'Addr3': 'Bayshore CA 94326'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2024-12-28,2025-11-28,413.5,"{'ListID': '2D0000-933272656', 'FullName': 'San Domingo'}",7.5,18.45,-431.95,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}",,,,,,,
1,469E-1071530054,2003-12-16T04:44:14+05:30,2024-12-15T18:27:46+05:30,1734267424,1067,"{'ListID': '800000B7-1197706241', 'FullName': 'Melton, Johnny:Basement Remodel'}","{'ListID': '40000-933272658', 'FullName': 'Remodel'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2023-11-30,978,"{'Addr1': 'Johnny Melton, DDS', 'Addr2': '300 Main St, Suite 3', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Johnny Melton, DDS', 'Addr2': '300 Main St, Suite 3', 'Addr3': 'Bayshore CA 94326'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2024-12-30,2025-11-30,14330.5,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,158.14,-14488.64,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Johnny Melton, DDS', 'Addr2': '300 Main St, Suite 3', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Johnny Melton, DDS', 'Addr2': '300 Main St, Suite 3', 'Addr3': 'Bayshore, CA 94326'}","{'ListID': '40000-933272660', 'FullName': 'Please sign this estimate to indicate your approval.'}",,,,
2,D7E-933784197,1999-08-04T21:59:57+05:30,2024-12-15T18:28:05+05:30,1734267321,251,"{'ListID': '280000-933272658', 'FullName': 'Pretell Real Estate:75 Sunset Rd.'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': '20001-1197739370', 'FullName': 'Intuit Product Invoice'}",2023-12-01,985,"{'Addr1': 'Pretell Real Estate', 'Addr2': '222 Middlefield  Ave', 'City': 'Middlefield', 'State': 'CA', 'PostalCode': '94482'}","{'Addr1': 'Pretell Real Estate', 'Addr2': '222 Middlefield  Ave', 'Addr3': 'Middlefield  CA 94482'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2024-12-31,2025-12-01,11170.96,"{'ListID': '2D0000-933272656', 'FullName': 'San Domingo'}",7.5,614.09,-11785.05,0.0,true,false,false,"{'ListID': '20000-999022286', 'FullName': 'Non'}","{'Addr1': 'Pretell Real Estate', 'Addr2': '75 Sunset Road', 'City': 'Middlefield', 'State': 'CA', 'PostalCode': '94482'}","{'Addr1': 'Pretell Real Estate', 'Addr2': '75 Sunset Road', 'Addr3': 'Middlefield  CA 94482'}","{'ListID': '50000-933272660', 'FullName': 'Thank you for your business.'}",,,,
3,26BB-1071526385,2003-12-16T03:43:05+05:30,2024-12-15T18:27:47+05:30,1734267342,460,"{'ListID': '600000-1071508427', 'FullName': 'Smallson, Fran:Office remodeling'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2023-12-09,987,"{'Addr1': 'Fran Smallson', 'Addr2': '5437 Euclid St', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Fran Smallson', 'Addr2': '5437 Euclid St', 'Addr3': 'Bayshore CA 94326'}",false,false,"{'ListID': '20000-933272658', 'FullName': 'Net 15'}",2024-12-24,2025-12-09,1665.0,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,0.0,-1665.0,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Smallson Electric', 'Addr2': '5437 Euclid St', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Smallson Electric', 'Addr2': '5437 Euclid St', 'Addr3': 'Bayshore CA 94326'}",,,,,
4,F57-933788188,1999-08-04T23:06:28+05:30,2024-12-15T18:27:46+05:30,1734267325,295,"{'ListID': '800000B6-1197702033', 'FullName': 'Ecker Designs:Office Expansion'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': '80000-933288086', 'FullName': 'Custom Invoice'}",2023-12-15,990,"{'Addr1': 'Deanna Ecker', 'Addr2': '95 Amber St', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Deanna Ecker', 'Addr2': '95 Amber St', 'Addr3': 'Bayshore CA 94326'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2025-01-14,2025-12-15,4690.0,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,67.81,-4757.81,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Ecker Designs', 'Addr2': '95 Amber St', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326', 'Note': 'Attn: Deanna Ecker'}","{'Addr1': 'Ecker Designs', 'Addr2': '95 Amber St', 'Addr3': 'Bayshore CA 94326', 'Addr4': 'Attn: Deanna Ecker'}",,A905-01,,,
5,4346-1071520492,2003-12-16T02:04:52+05:30,2024-12-15T18:27:48+05:30,1734267413,1041,"{'ListID': '800000B9-1197733691', 'FullName': 'Baker, Chris:Garage Repair'}","{'ListID': '40000-933272658', 'FullName': 'Remodel'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': '80000-933288086', 'FullName': 'Custom Invoice'}",2023-12-15,991,"{'Addr1': 'Baker, Chris', 'Addr2': '415 W. Desert Bloom', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Baker, Chris', 'Addr2': '415 W. Desert Bloom', 'Addr3': 'Bayshore, CA  94326'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2025-01-14,2025-12-15,1040.0,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,0.0,-1040.0,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}",,,,,,,
6,44A8-1071524908,2003-12-16T03:18:28+05:30,2024-12-15T18:28:05+05:30,1734267420,1059,"{'ListID': '280000-933272658', 'FullName': 'Pretell Real Estate:75 Sunset Rd.'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2023-12-15,992,"{'Addr1': 'Pretell Real Estate', 'Addr2': '222 Middlefield  Ave', 'City': 'Middlefield', 'State': 'CA', 'PostalCode': '94482'}","{'Addr1': 'Pretell Real Estate', 'Addr2': '222 Middlefield  Ave', 'Addr3': 'Middlefield  CA 94482'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2025-01-14,2025-12-15,12412.18,"{'ListID': '2D0000-933272656', 'FullName': 'San Domingo'}",7.5,614.09,-13026.27,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Pretell Real Estate', 'Addr2': '75 Sunset Road', 'City': 'Middlefield', 'State': 'CA', 'PostalCode': '94482'}","{'Addr1': 'Pretell Real Estate', 'Addr2': '75 Sunset Road', 'Addr3': 'Middlefield  CA 94482'}",,,,,
7,44F3-1071525107,2003-12-16T03:21:47+05:30,2024-12-15T18:27:46+05:30,1734267421,1060,"{'ListID': '800000B6-1197702033', 'FullName': 'Ecker Designs:Office Expansion'}","{'ListID': '10000-933272658', 'FullName': 'New Construction'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2023-12-15,993,"{'Addr1': 'Deanna Ecker', 'Addr2': '95 Amber St', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326'}","{'Addr1': 'Deanna Ecker', 'Addr2': '95 Amber St', 'Addr3': 'Bayshore CA 94326'}",false,false,"{'ListID': '10000-933272658', 'FullName': 'Net 30'}",2025-01-14,2025-12-15,1397.0,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,71.3,-1468.3,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Ecker Designs', 'Addr2': '95 Amber St', 'City': 'Bayshore', 'State': 'CA', 'PostalCode': '94326', 'Note': 'Attn: Deanna Ecker'}","{'Addr1': 'Ecker Designs', 'Addr2': '95 Amber St', 'Addr3': 'Bayshore CA 94326', 'Addr4': 'Attn: Deanna Ecker'}",,,,,
8,4909-1071512260,2003-12-15T23:47:40+05:30,2024-12-15T18:27:46+05:30,1734267430,1079,"{'ListID': '800000B5-1197701259', 'FullName': 'Castillo, Eloisa:Bay Window'}","{'ListID': '40000-933272658', 'FullName': 'Remodel'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': 'E0000-1071499861', 'FullName': 'Rock Castle Invoice'}",2023-12-23,994,"{'Addr1': 'Eloisa Castillo', 'Addr2': '8321 S. Flower', 'City': 'E. Bayshore', 'State': 'CA', 'PostalCode': '94781'}","{'Addr1': 'Eloisa Castillo', 'Addr2': '8321 S. Flower', 'Addr3': 'E. Bayshore, CA  94781'}",false,false,"{'ListID': '20000-933272658', 'FullName': 'Net 15'}",2025-01-07,2025-12-23,361.08,"{'ListID': '350000-1071521574', 'FullName': 'East Bayshore'}",0.3,0.0,-361.08,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Eloisa Castillo', 'Addr2': '8321 S. Flower', 'City': 'E. Bayshore', 'State': 'CA', 'PostalCode': '94781'}","{'Addr1': 'Eloisa Castillo', 'Addr2': '8321 S. Flower', 'Addr3': 'E. Bayshore, CA  94781'}",,,,,
9,8AC9-1197732443,2007-12-15T20:57:23+05:30,2024-12-15T18:28:05+05:30,1734267475,1421,"{'ListID': '800000B3-1197778093', 'FullName': 'Vasquez, Anabel:Basement Remodel'}","{'ListID': '40000-933272658', 'FullName': 'Remodel'}","{'ListID': '40000-933270541', 'FullName': 'Accounts Receivable'}","{'ListID': '130000-1071512842', 'FullName': 'Custom S.O. Invoice'}",2024-01-28,1001,"{'Addr1': 'Anabel Vasquez', 'Addr2': '5601 Legacy Parkway', 'City': 'San Mateo', 'State': 'CA', 'PostalCode': '09402'}","{'Addr1': 'Anabel Vasquez', 'Addr2': '5601 Legacy Parkway', 'Addr3': 'San Mateo, CA 09402'}",false,false,"{'ListID': '20000-933272658', 'FullName': 'Net 15'}",2025-02-12,2025-11-20,800.0,"{'ListID': '2E0000-933272656', 'FullName': 'San Tomas'}",7.75,62.0,-862.0,0.0,true,false,false,"{'ListID': '10000-999022286', 'FullName': 'Tax'}","{'Addr1': 'Anabel Vasquez', 'Addr2': '5601 Legacy Parkway', 'City': 'San Mateo', 'State': 'CA', 'PostalCode': '09402'}","{'Addr1': 'Anabel Vasquez', 'Addr2': '5601 Legacy Parkway', 'Addr3': 'San Mateo, CA 09402'}",,,,,
